"clbid","credits","crsid","department","description","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_sr","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000172175","1.0","0000027940","ARTH","This course introduces students to the working methods of Art History. Students learn to analyze works of art visually, to understand the relationships between works of art and their cultural contexts, to consider the practices and politics of museum display, and to think critically about the role of art in their own lives and in society. Offered each semester.","0","0","0","0","0","ALS-A;GHS;ORC","Ryan, Hannah","{'fsnum': '31158', 'name': 'Ryan, Hannah'}","100","20","","","","Intro to Art History","","153","","False","False","","4","X","20254","Introduction to Art History","Research","2025"
"0000172176","1.0","0000034660","ARTH","What is a museum? Is it an impartial space to display and store valued objects that objectively reflect culture, or is it a more complicated organization that evolves and responds to the emerging needs and challenges of individuals and communities? In this course, students explore these questions, consider how museums can be understood as systems of power, and become acquainted with the various roles people play within them. Specific topic varies by instructor. May be repeated if topics differ. Offered alternate years.","5","0","1","2","2","ALS-A","Ryan, Hannah","{'fsnum': '31158', 'name': 'Ryan, Hannah'}","200","20","","","","Top: Museum Controversies","","282","","False","False","","4","O","20254","Topics in Museum Studies","Topic","2025"
"0000173730","1.0","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Piper Center for Vocation and Career, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.","1","1","0","0","0","OEP","Crisp, Kevin M.","{'fsnum': '17430', 'name': 'Crisp, Kevin M.'}","200","0","","","","Academic Internship","","294","","True","False","A","4","C","20254","","Research","2025"
"0000172177","1.0","0000040257","BUS","Students develop the skills to translate business concepts into practical financial models using Microsoft Excel. They gain a strong foundation in fundamental Excel functions, formulas, and techniques, and learn how to apply them to real-world business scenarios. The course provides aptitudes that are important for upper-level business courses, as well as internships. Offered annually. Prerequisite: BUS 225 and sophomore standing or above, or permission of instructor.","0","0","0","0","0","","Ramlall, Padma","{'fsnum': '9005135', 'name': 'Ramlall, Padma'}","200","35","0","","","Business Modeling in Excel","Not open to first-year students.","266","","False","BUS 225 and sophomore standing or above, or permission of instructor.","","4","X","20254","","Research","2025"
"0000172178","1.0","0000000192","CHEM","This study of chemical stoichiometry, equilibrium, acid-base chemistry, coordination chemistry, and atomic and molecular structure supplies the fundamental background on which all later chemistry courses depend. It includes applications of equilibrium principles to acid-base chemistry. Students attend three classes and one three-hour laboratory per week. Students planning to continue in chemistry should consider concurrent registration in MATH 119 or MATH 120. The course cannot be taken in conjunction with or after credit in CHEM 122. Offered annually during Fall semester. Prerequisite: placement via online placement survey.","5","1","0","3","1","NSC;NSL;NTS;SED","Riley, Patrick N.","{'fsnum': '14194', 'name': 'Riley, Patrick N.'}","100","24","","","","Struct Chem & Equilib","","125","{'day': 'Mo', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'}","False","placement via online placement survey.","","4","O","20254","Structural Chemistry and Equilibrium","Research","2025"
"0000172179","","0000000193","CHEM","","5","1","0","3","1","","Riley, Patrick N.","{'fsnum': '14194', 'name': 'Riley, Patrick N.'}","100","24","","","","Struct Chem & Equilib Lab","","125","{'day': 'Mo', 'end': '16:00', 'location': 'RNS 355', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': 'RNS 355', 'start': '13:00'}","False","","","4","O","20254","","Lab","2025"
"0000172180","1.0","0000000196","CHEM","Organic chemistry is the study of compounds containing carbon, emphasizing the structures and mechanisms of reaction of these molecules. This course focuses on structure, nomenclature, and reactions of aliphatic and alicyclic compounds, including aspects of stereochemistry and spectroscopic identification of organic compounds. A full treatment of introductory organic chemistry requires subsequent enrollment in CHEM 248. Offered annually during Fall semester. Prerequisite: CHEM 126 or permission of instructor.","7","3","2","2","0","NSC","Gittins, Peter J.","{'fsnum': '21144', 'name': 'Gittins, Peter J.'}","200","24","","","","Organic Chemistry I","Class meets from June 1 to June 18 with an online proctored final on June 26,   ;2026.","247","{'day': 'Mo', 'end': '12:00', 'location': 'VRTL Online', 'start': '21:00'};{'day': 'Tu', 'end': '12:00', 'location': 'VRTL Online', 'start': '21:00'};{'day': 'We', 'end': '12:00', 'location': 'VRTL Online', 'start': '21:00'};{'day': 'Th', 'end': '12:00', 'location': 'VRTL Online', 'start': '21:00'}","False","CHEM 126 or permission of instructor.","","4","O","20254","","Research","2025"
"0000172181","0.25","0000000199","CHEM","This laboratory course introduces students to the synthesis and characterization of organic, organometallic and inorganic compounds and serves as a general introduction to green chemistry. Students purify the materials they produce by techniques such as chromatography and characterize them using optical rotation measurements, infrared spectroscopy, and nuclear magnetic resonance spectroscopy. Students attend one three-hour laboratory each week. P/N only. Offered annually during Fall semester. Prerequisite: previous or concurrent registration in CHEM 247.","6","3","1","2","0","","Gittins, Peter J.","{'fsnum': '21144', 'name': 'Gittins, Peter J.'}","200","24","","","","Synthesis Lab I","Asynchronous work ~9 hours: June 1 - July 10.                                   ;In-person days: July 6-8 MTW 8am-12pm & 1pm-5pm.","253","","True","previous or concurrent registration in CHEM 247.","","4","O","20254","Synthesis Laboratory I","Lab","2025"
"0000172014","1.0","0000000287","CSCI","This course introduces students to computer science (CS), a field devoted to creative problem solving with computers, and its applications to other disciplines. Students explore fundamental concepts, including iteration, recursion, object-oriented software design, algorithm efficiency, levels of naming, and computing ethics. Students apply these concepts daily in hands-on homework exercises relevant to fields in the arts, humanities (including digital humanities computations), social sciences, and natural sciences. Includes a team project applying CS to a chosen discipline. No prior experience with programming is expected or required. Offered each semester. One of CSCI 121, CSCI 125, or CSCI 251 counts toward applied linguistics concentration.","0","0","0","0","0","AQR;MAR;QCR","Houssou, Kodjo","{'fsnum': '9005196', 'name': 'Houssou, Kodjo'}","100","20","","","","Principles Comp Sci","This course will have hybrid instruction.  All instruction will happen live at  ;the scheduled time.  Students can choose to attend class sessions online or in  ;person.","121","{'day': 'Mo', 'end': '11:30', 'location': 'RNS 203', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RNS 203', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RNS 203', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RNS 203', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RNS 203', 'start': '10:00'}","False","False","","4","X","20254","Principles of Computer Science","Research","2025"
"0000172182","1.0","0000021584","FMS","This course is an introduction to film analysis. Students learn the language used to describe and understand various features and aspects of the cinema. In addition to exploring the elements that make up a film, students also think carefully about the decisions, techniques, and strategies that inform film production. Topics of study include narrative, mise-en-scene, cinematography, editing, film sound, and, later in the course, broader categories of classification such as genre and mode.","10","0","4","1","5","ALS-A;CRE","Nordfjörd, Björn","{'fsnum': '26260', 'name': 'Nordfjörd, Björn'}","100","25","","","","Intro to Film Studies","","101","","False","False","","4","O","20254","Introduction to Film Studies","Research","2025"
